Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Becoming a Thought Leader,"Do you hope to build lasting change and a legacy that matters? Then maybe it's time for you to become a thought leader. Thought leaders are recognized for their ideas and their contributions to the world. They share their expertise and engage a community of followers—while enhancing their own reputations in their fields.  In this course, thought leadership consultant and author Denise Brosseau defines exactly what a thought leader is and explains the risks and rewards that come with this unique position. She describes how to plan your strategy, develop a compelling message, build influence, maximize your visibility, and track your impact. She also shares tips to scale your ideas to reach the widest possible audience—online and off.",Course,2019-03-22 16:10 UTC,N/A,false,N/A,
Effective Listening,"Listening is a critical competency, whether you are interviewing for your first job or leading a Fortune 500 company. Surprisingly, relatively few working professionals have ever had any formal training in how to listen effectively. In this course, communications experts Tatiana Kolovou and Brenda Bailey-Hughes show how to assess your current listening skills, understand the challenges to effective listening (such as distractions!), and develop behaviors that will allow you to become a better listener—and a better colleague, mentor, and friend.",Course,2020-04-20 16:34 UTC,N/A,false,N/A,
"John Maeda on Design, Business, and Inclusion","Good design is often associated with beauty.  For LinkedIn Influencer John Maeda, a major figure in the field of design and technology, it isn't that simple. In this course, he argues that good design is more about outcome than aesthetics. For a business to develop better products, they must do more than pick a pleasing color scheme and slick layout; they must understand who their users are. In this course, John shares insights about the rise of design as a key component for innovative and growing businesses. He also points out three design growth areas—classical design, design thinking, and computational design—and shines a spotlight on the link between inclusion and design.",Course,2019-03-04 14:49 UTC,N/A,false,N/A,
Computer and Text Neck Stretching Exercises,"Our necks bear the brunt of the stress when we spend too much time looking at screens. Taking a break is the best solution, but sometimes we can’t afford to go offline. Luckily, with simple corrections to your posture and typing habits, you can eliminate injury to this sensitive area. Join Dr. Baxter Bell for this series of exercises that can help relieve and prevent neck pain. Discover the proper way to stretch your back and neck, lengthen your neck muscles and upper spin, deepen your breath, and get the blood flowing through your body. Plus, learn a simple exercise that will benefit your neck and your wrists.<br><br>

Note: This course was created and produced by <a href=”https://www.desk-yogi.com” target=”_blank”>Desk Yogi</a>.",Course,2020-10-24 02:45 UTC,N/A,false,N/A,
Data-Driven Learning Design,"Work skills are starting to have increasingly shorter shelf lives. Consequently, professionals of all stripes need access to high-quality learning and development (L&D) options that equip them with the skills they need to remain competitive. In this course, learn how L&D professionals can leverage the power of data to create learning content that more effectively helps learners upskill. Learn about the data-driven learning design process and how to build a data strategy of your own. Instructor Lori Niles discusses the importance of data analysis on learner behavior prior to solution design. She also details how marketing uses data—and how L&D professionals can apply some of those techniques to increase content consumption. Plus, learn how to make informed decisions when choosing a learning management system, leverage data to have more successful conversations with stakeholders, and start closing learning gaps at your organization.",Course,2021-05-21 18:58 UTC,N/A,false,N/A,
Building Resilience as a Leader,"Research tells us that resilience is one of the key attributes of successful leaders. Resilience can help you face challenges, navigate obstacles, and thrive in your role. But it can also help you lead your team and your business to bigger and better results. In this course, psychologist and executive coach Gemma Leigh Roberts helps you develop a resilient mindset, a resilient team, and a resilient organization, which can weather risk and change. The tips Gemma offers are approachable and actionable—designed for busy leaders who need an extra edge to survive and thrive in challenging times.",Course,2020-11-25 20:28 UTC,N/A,false,N/A,
Managing Your Emotions at Work,"Everyone has emotions. Now, more than ever, we're encouraged to bring those emotions to work. However, knowing how to manage them in a dynamic and complex work environment is a skill. Feelings can get in the way of our effectiveness, communication, and even reputation if they're not handled effectively. In this course, Jay Fields, an expert in emotional regulation, introduces learners to an embodied way to relate to and manage their emotions. Blending conceptual learning with experiential activities, this course offers accessible practices that you can employ in real time in emotional situations. Follow along and discover how your body influences your mind's ability to regulate emotions, how to practice self-empathy and acknowledge your emotions, and how to responsibly express emotion at work. Plus, learn how to engage in practices such as orienting, grounding, and centering that allow you to become a more emotionally intelligent, resilient person—at work and at home.",Course,2021-03-26 02:10 UTC,N/A,false,N/A,
Pitching Your Ideas Strategically,"So you have a great idea. You want to share it at work. What's the best way to deliver your pitch? In this course, Dr. Todd Dewett shows how to pitch your ideas strategically. He explains how to prepare your presentation, read the room, time your delivery, and address any challenges: competing agendas, resistors, or even a chilly reception. By being able analyze the dynamics of a group of stakeholders—whether it's a team of coworkers, managers, or marketers—you can better tailor your pitch and move your idea forward.",Course,2021-06-30 22:56 UTC,N/A,false,N/A,
Difficult Conversations: Talking about Race at Work,"People around the world are having difficult conversations about race and justice. But few are talking about <i>how</i> to talk about race. This has left some professionals sitting on the sidelines because they don't know what to say or how to say it. In this course, negotiation and conflict resolution expert Kwame Christian shows how to apply a useful framework to open up an effective dialogue at work and facilitate understanding. Kwame highlights the barriers that make talking about race so challenging. He then shares how to apply a framework that provides a consistent tool for how to have these conversations. Using this framework, you can acknowledge and validate emotions, use curiosity to open up dialogue, and work with others to determine what you're trying to solve. Plus, Kwame shares general tips for talking about race, including how to avoid common pitfalls and talk to your kids about race and society.",Course,2020-11-13 16:29 UTC,N/A,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:2811722,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:2811722,Course,2020-05-24 22:36 UTC,N/A,false,N/A,
Building Resilience,"Have trouble getting by when the going gets tough? Everyone wants to perform well when the pressure's on, but a lot of us withdraw in times of stress or adversity. If you can build your resilience, you'll have an easier time facing new challenges and earn a valuable skill to offer employers. In this course, Kelley School of Business professor and professional communications coach Tatiana Kolovou explains how to bounce back from difficult situations, by building your ""resiliency threshold."" She outlines five training techniques to prepare for difficult situations, and five strategies for reflecting on them afterward. Find out where you are on the resilience scale, identify where you want to be, and learn strategies to close the gap. <br><br>Note: This course was featured in <i>Market Watch</i>, <i>Inc.</i>, <i>Fortune</i>, <i>Forbes</i>, and <i>Entrepreneur</i>.",Course,2021-02-03 03:24 UTC,N/A,false,N/A,
Shane Snow on Storytelling,"Storytelling is a powerful way to make people care about products, brands, and causes. It can facilitate sales, marketing, presentations, and about any other task that requires a human connection. LinkedIn Influencer and best-selling business author Shane Snow shares his approach to crafting compelling stories. Learn how to make people care with personal stories, brand stories, or any other kind of story—using the core elements of narrative and established storytelling frameworks. Find out how to maximize connections with your audience and create a culture of storytelling throughout your organization.",Course,2019-01-25 19:08 UTC,N/A,false,N/A,
Brad Feld on Validating Your Startup Idea,"So you have an idea for a business. Maybe you have lots of ideas, with lots of potential. How do you focus on the opportunity that is going to be the most successful and the best use of your time? Brad Feld is a serial entrepreneur turned investor, who has helped build 100s of companies over the last 30 years, including Techstars, his startup accelerator. In this course, he walks through the preliminary steps that any entrepreneur needs to follow to determine whether an idea has merit: whether it is significant, meaningful, and disruptive. He provides a framework to evaluate an idea and its risks—as well the costs of not pursuing the idea at all. He then explains, in detail, how to evaluate your opportunity, your product, your market, and your team. These steps lay the groundwork critical to a successful startup, resulting in a refined and well-researched idea that you, your partners, your customers, and potentials investors can all get behind.",Course,2019-05-22 15:11 UTC,N/A,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:2820200,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:2820200,Course,2020-01-09 05:39 UTC,N/A,false,N/A,
Cryptocurrency Foundations,"The digital revolution has impacted almost every aspect of our lives, including the way money is made, stored, and used. Cryptocurrency is the latest trend. It is a completely decentralized form of digital money, that is created and exchanged without the intervention of traditional financial institutions. Bitcoin, the most popular form, is on its way to becoming a legitimate global currency. This short course is for anyone who wants to understand the basics of how cryptocurrencies are created, traded, and mined. Dr. Jonathan Reichental reviews the underlying technology—blockchain databases, hashing, and cryptography—and explains how anyone can create a form of cryptocurrency and offer it for use. He also discusses the process of mining and the hardware and software needed to become a cryptocurrency miner.",Course,2021-05-20 00:12 UTC,N/A,false,N/A,
Project Management Foundations: Schedules,"Discover how to build project schedules that help you accomplish your project goals on time and within budget—while being flexible enough to accommodate change. In this course, trainer and PMP Bonnie Biafore teaches you how to proactively manage project schedules. Learn how to develop a plan for schedule management; identify activities and milestones; estimate costs; allocate and negotiate for resources; and manage the schedule over time. Bonnie introduces techniques to uncover and resolve schedule conflicts, shorten timeframes, and reduce costs. By the end of the course, you'll have learned the skills you need to meet stakeholder expectations and adapt to changes as they arise over the life of the project.<br><br>Note: This course aligns with best practices from <i>A Guide to the Project Management Body of Knowledge, (PMBOK® Guide) - Sixth Edition</i>, published by the Project Management Institute®.",Course,2019-05-15 14:56 UTC,N/A,false,N/A,
Predictive Customer Analytics,"Use big data to tell your customer's story, with predictive analytics. In this course, you can learn about the customer life cycle and how predictive analytics can help improve every step of the customer journey.<br><br>

Start off by learning about the various phases in a customer's life cycle. Explore the data generated inside and outside your business, and ways the data can be collected and aggregated within your organization. Then review three use cases for predictive analytics in each phase of the customer's life cycle, including acquisition, upsell, service, and retention. For each phase, you also build one predictive analytics solution in Python. In the final videos, author Kumaran Ponnambalam introduces best practices for creating a customer analytics process from the ground up.",Course,2019-02-25 16:21 UTC,N/A,false,N/A,
Leadership Stories: 5-Minute Lessons in Leading People,"Join expert storyteller Paul Smith to get engaging insights into leadership. Drawing on his exclusive, one-on-one interviews with over 250 CEOs and executives around the world, Paul reveals experiences that led these leaders to learn a critical lesson or gain some invaluable-and often unconventional-wisdom. Each video is centered around a single story. He covers topics such as setting a vision, leading change, and getting more creativity out of an organization. Think of this series as a fireside chat with someone who's had the luxury of interviewing some of the most insightful executives in the world.",Course,2020-04-06 23:47 UTC,N/A,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:5037960,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:5037960,Course,2019-12-11 15:26 UTC,N/A,false,N/A,
How to Make Strategic Thinking a Habit,"Working hard is important—but what's really critical is making sure you're working on the right things. That's what strategic thinking enables you to do. In this course, Dorie Clark shares frameworks and strategies to help you make strategic thinking a daily habit, so that you can make the best use of your time, energy, and effort at work. Discover how to set yourself up for success by carving out time for strategic thinking and adjusting your routine to spark more strategic thoughts. Get tactics for thinking strategically about the tasks and decisions that lie ahead of you, as well as how to revisit past decisions to glean valuable insights. Learn how to change the way you approach your to-do list and examine the root cause of problems to devise better solutions. Plus, Dorie explains how to consistently ask yourself the right questions, so that you don't get off track.",Course,2020-11-03 04:32 UTC,N/A,false,N/A,
After Effects 2020 New Features,"After Effects 2020 is here. Want to know how this new version will impact your motion graphics workflow? This course covers the latest upgrade, focused around the new, more powerful Content-Aware Fill. Discover how to remove an object, create a reference frame, and remove a logo on a smooth surface with this intelligent editing tool. Instructor Mark Christiansen provides practical tips to help you get the most from this forward-looking update.",Course,2020-01-20 18:22 UTC,N/A,false,N/A,
Learn LinkedIn Sales Navigator (2020),"Find more leads and build out your social sales strategy with the power of LinkedIn Sales Navigator. LinkedIn is a natural platform for social selling, and with Sales Navigator you can increase your opportunity for successful connections. In this course, Donna Alexander shows you how to find new leads, review updates and lead suggestions, view member profiles and company accounts, and use shared connections to make an introduction. She also shows how you can use InMail to increase your sales success with targeted messaging, and prospect on the go with the Sales Navigator mobile app. Plus, learn how to sync Sales Navigator with your CRM and adjust your preferences to make Sales Navigator work perfectly for you.",Course,2020-11-29 21:54 UTC,N/A,false,N/A,
Drawing Foundations: Figure,"Learn the foundations of figure drawing: techniques for bringing the human form to life on paper. Artist and teacher Amy Wynne breaks down a classical approach to figure drawing into simple steps: capturing gesture and motion, mapping out structure and form, understanding the common ""landmarks"" of the body, drawing proportionally, and adding volume with shapes and shadows. Filmed on premise in a professional art studio, this course shows how to work with live models and different drawing materials. It's ideal for beginners who are just learning to draw the human figure as well as experienced artists who want to brush up their drawing skills. Follow along with Amy's tutorials and then use the worksheets and sample poses in the exercise files to practice figure drawing in your own time.",Course,2020-05-16 23:31 UTC,N/A,false,N/A,
Artificial Intelligence for Project Managers,"Artificial intelligence (AI) is no longer confined to the realm of science fiction. It's on track to disrupt the world of work in a very real way, and major changes—from the rise of productization to the demand for predictability—are driving its adoption. In this course, learn about the impact that AI will have on project management, how to prepare for the changes that lie ahead, and how to harness the power of AI to work smarter. Instructor Oliver Yarbrough goes over the factors that are contributing to the growing importance of AI. He also details how to prepare for the disruption that it will cause; hone the skills that AI cannot replace; and leverage AI to more effectively initiate, plan, execute, monitor and control, close, and integrate your projects.",Course,2019-02-19 20:37 UTC,N/A,false,N/A,
Brad Feld on Raising Capital,"To get a business off the ground or take it to the next level, entrepreneurs often need extra cash. Venture financing, where money is raised from venture capital firms or individual investors as opposed to a public institution like a bank, is a popular avenue. But how do you decide if financing makes sense for your business? How much money do you need? And who do you ask? Brad Feld is an investor who has overseen thousands of rounds of venture financing, enabling companies like Zynga, MakerBot, and Fitbit to grow from startups to established enterprises. In this course, he walks you through the process of evaluating, finding, and securing funding for your business. Learn about the different stages of financing, the many types of investors, and different avenues of funding: traditional convertible debt and equity and newer practices such as crowdfunding and pre-sales. Brad helps you zero in on a solution that's right for your business and develop a mindset for success.",Course,2019-05-07 22:43 UTC,N/A,false,N/A,
Managing New Managers,"Managing new leaders comes with a unique set of challenges. Even the most outstanding individual contributor can struggle as they unpack their new role and tackle their increased responsibilities. In this course, learn how to support and inspire new leaders as they make this critical transition. Leadership expert Sara Canaday shows how to identify the unique perspectives and challenges of your new managers, set the expectations for their transition, provide coaching and support, and cultivate the right conditions to help them succeed.",Course,2020-03-30 19:43 UTC,N/A,false,N/A,
